id,name,street,street2,zipcode,city,state,county,country,latitude,longitude,type,description,url,phone,email,archived,status,activityCnt,activityName,role,contactNames,contactEmails,sectionCnt,courses,unitCnt,unitNames,externalId,portal_name,programs
9193f843-436b-49fb-4186-3c0be89f4fdd,Bais Yaakov High School of Indiana,206 West 8th Street,,46544,Mishawaka,IN,St Joseph,US,41.655561,-86.182571,education: k-12,,,(574) 257-0689,,False,approved,1,['Indiana College Core Certificate (ICC) Program'],"{""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['School of Education'],D196,South Bend,Indiana College Core
beed2aec-a237-4fa5-6f89-cf9c949b68df,Bremen Public Schools: Bremen Senior High School,511 W Grant St,,46506,Bremen,IN,Marshall,US,41.443133,-86.152634,education: k-12,,http://www.bps.k12.in.us,(574) 546-3511,,False,approved,1,['Indiana College Core Certificate (ICC) Program'],"{""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['School of Education'],5941,South Bend,Indiana College Core
f8d61a90-540b-4e91-6e10-814a99e286c8,Northwest Allen County Schools: Carroll High School,3701 Carroll Rd,,46818,Fort Wayne,IN,Allen,US,41.190634,-85.192471,education: k-12,,http://www.nacs.k12.in.us/chs.htm,(260) 637-3161,,False,approved,1,['Indiana College Core Certificate (ICC) Program'],"{""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['School of Education'],0091,South Bend,Indiana College Core
1f3c72fa-1c57-4c9c-40ca-8f5db8cd3039,NorthWood High School,2101 N Main St #9399,,46550,Nappanee,18,Wa-Nee ,US,41.46143,-85.99943,education: k-12,,,,,False,approved,1,['Indiana College Core Certificate (ICC) Program'],"{""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['School of Education'],,South Bend,Indiana College Core
135a8bd5-ffea-46d8-4b82-622fd2c49f63,Prairie Heights Community Sch Corp: Prairie Heights Sr High School,0245 S 1150 E,,46761,LaGrange,IN,LaGrange,US,41.63763,-85.20203,education: k-12,,http://www.ph.k12.in.us,(260) 351-3039,,False,approved,1,['Indiana College Core Certificate (ICC) Program'],"{""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['School of Education'],3690,South Bend,Indiana College Core
368ac833-b48f-454b-7f49-3f9d5a7e744c,Union-North United School Corp: LaVille Jr-Sr High School,69969 US 31 S,,46536,Lakeville,IN,St Joseph,US,41.478992,-86.304404,education: k-12,,http://www.unorth.k12.in.us/HS/LVHS.html,(574) 784-3151,,False,approved,1,['Indiana College Core Certificate (ICC) Program'],"{""Set goals"",""Manage the event or activity"",""Promote event to target populations"",""Provide access to data"",""Provide access to target populations"",""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['School of Education'],7399,South Bend,Indiana College Core
bb616673-c6e8-4dd9-601d-9c33d765bbed,Warsaw Community Schools: Warsaw Community High School,1 Tiger Ln,,46580,Warsaw,IN,Kosciusko,US,41.223494,-85.865073,education: k-12,,http://wchs.warsaw.k12.in.us,(574) 371-5099,,False,approved,1,['Indiana College Core Certificate (ICC) Program'],"{""Supervise the activity"",""Supervise students""}",[' '],[''],0,,1,['School of Education'],3647,South Bend,Indiana College Core
