id,name,street,street2,zipcode,city,state,county,country,latitude,longitude,type,description,url,phone,email,archived,status,activityCnt,activityName,role,contactNames,contactEmails,sectionCnt,courses,unitCnt,unitNames,externalId,portal_name,programs
0e1aec5b-b750-43d2-7291-2935d2bf38e7,Eastern Hancock Co Com Sch Corp,10370 E 250 N,,46117-0000,Charlottesville,IN,Hancock,US,39.824354,-85.611859,education: k-12,,http://www.easternhancock.org,(317) 467-0064,,False,approved,1,['Registered Apprenticeship Program K-12 Teacher (IUE)'],"{""Manage the event or activity"",""Promote event to target populations"",""Provide access to target populations""}",[''],[''],0,,1,['School of Education'],3145,East,Registered Apprenticeship Program K-12 Teacher
ee45fdd0-7b09-4d21-7013-91c046e63b6f,Lawrenceburg Community School Corp,300 Tiger Blvd,,47025-1698,Lawrenceburg,IN,Dearborn,US,39.098423,-84.854594,education: k-12,,http://www.lburg.k12.in.us,(812) 537-7201,,False,approved,1,['Registered Apprenticeship Program K-12 Teacher (IUE)'],"{""Manage the event or activity"",""Promote event to target populations"",""Provide access to target populations""}",[''],[''],0,,1,['School of Education'],1620,East,Registered Apprenticeship Program K-12 Teacher
756f8fd9-8173-4043-5684-0e1d279e9078,Union County College Corner Joint School District,107 Layman St,,47353,Liberty,IN,Union,US,39.635839,-84.916423,education: k-12,,https://www.uc.k12.in.us/,,,False,approved,1,['Registered Apprenticeship Program K-12 Teacher (IUE)'],"{""Manage the event or activity"",""Promote event to target populations"",""Provide access to target populations""}",[''],[''],0,,1,['School of Education'],,East,Registered Apprenticeship Program K-12 Teacher
