id,name,street,street2,zipcode,city,state,county,country,latitude,longitude,type,description,url,phone,email,archived,status,activityCnt,activityName,role,contactNames,contactEmails,sectionCnt,courses,unitCnt,unitNames,externalId,portal_name,programs
3f3da1e0-a945-4e04-6904-5d2b4a0bf574,Alexandria Community School Corp,202 E Washington St,,46001-2005,Alexandria,IN,Madison,US,40.262827,-85.672994,education: k-12,,http://alex.k12.in.us/,(765) 724-4496,,False,approved,1,['Registered Apprenticeship Program K-12 Teacher (IUK)'],"{""Manage the event or activity"",""Promote event to target populations"",""Provide access to target populations""}",[' '],[''],0,,1,['School of Education'],5265,Kokomo,Registered Apprenticeship Program K-12 Teacher
687c3ed1-a573-452a-77be-580788caddd7,Community Schools of Frankfort,2400 E. Wabash,,46041,Frankfort,IN,Clinton County,US,40.279501,-86.480638,education: k-12,"<p>The Community Schools of Frankfort is a place where students and parents choose to attend, and highly effective personnel desire to work. Students will be provided a rigorous and relevant curriculum that begins with early childhood education and extends beyond the classroom. Technology will be highly utilized across the curriculum, and students will apply their talents to impact their lives and the world around them. CSF faculty and staff will be supported through professional development and have access to state-of-the-art facilities and resources made possible through sound fiscal management. Achievement will be a shared responsibility among stakeholders, thus developing a sense of pride within the community.</p>",https://www.frankfortschools.org/,(765) 659-6220,,False,approved,1,['Registered Apprenticeship Program K-12 Teacher (IUK)'],"{""Manage the event or activity"",""Promote event to target populations"",""Provide access to target populations""}",[' '],[''],0,,1,['School of Education'],,Kokomo,Registered Apprenticeship Program K-12 Teacher
4b4aa3d2-2a73-480d-5f89-a47d40f035e2,Hamilton Heights School Corporation,410 W. Main St.,P O Box 469,46030,Arcadia,IN,Hamilton,US,40.176037,-86.026799,education: k-12,<p>K-12 public institutioon serving northern Hamilton county Indiana.</p>,https://www.hhschuskies.org/,(317) 984-3538,,False,approved,1,['Registered Apprenticeship Program K-12 Teacher (IUK)'],"{""Manage the event or activity"",""Promote event to target populations"",""Provide access to target populations""}",[' '],[''],0,,1,['School of Education'],,Kokomo,Registered Apprenticeship Program K-12 Teacher
a843141f-747d-4565-60b5-f14d70538168,Logansport Community School Corporation,2829 George Street,,46947,Logansport,IN,Cass,US,40.756359,-86.329935,education: k-12,"<p>The mission of the Logansport Community School Corporation is to educate all students in a tradition of academic excellence, preparing them for productive and responsible citizenship in a global community.</p>",http://www.lcsc.k12.in.us/,(574) 722-2911,,False,approved,1,['Registered Apprenticeship Program K-12 Teacher (IUK)'],"{""Manage the event or activity"",""Provide access to target populations"",""Provide volunteer site or space""}",[' '],[''],0,,1,['School of Education'],,Kokomo,Registered Apprenticeship Program K-12 Teacher
d7006539-5128-4e4d-6b6b-5bcf05e9aa55,Marion Community Schools,750 W. 26th St.,,46953,Marion,IN,Grant,US,40.541898,-85.669596,education: k-12,"<p>K-12 educational institution serving Marion, Indiana in Grant county</p>",http://www.marion.k12.in.us/,(765) 662-2546,,False,approved,1,['Registered Apprenticeship Program K-12 Teacher (IUK)'],"{""Manage the event or activity"",""Promote event to target populations"",""Provide access to target populations""}",[' '],[''],0,,1,['School of Education'],,Kokomo,Registered Apprenticeship Program K-12 Teacher
9f579488-2c9a-41e1-6c92-a15ff053e88f,Mississinewa Community School Corp,424 E S 'A' St,,46933-0000,Gas City,IN,Grant,US,40.48716,-85.60811,education: k-12,,http://www.olemiss.k12.in.us/,(765) 674-8528,,False,approved,1,['Registered Apprenticeship Program K-12 Teacher (IUK)'],"{""Manage the event or activity"",""Promote event to target populations"",""Provide access to target populations""}",[' '],[''],0,,1,['School of Education'],2855,Kokomo,Registered Apprenticeship Program K-12 Teacher
55081fec-1978-480c-7a80-b5517051fa10,Pioneer Regional School Corporation,P O B 577,,46978,Royal Center,IN,White,US,40.86,-86.49,education: k-12,<p>Pioneer Regional School Corporation continues to serve the students of northwest Cass and northeast White County. The corporation employs approximately 130 certified and classified staff members. The superintendent of Pioneer Regional School Corporation is Mr. Charles Grable.</p>,https://www.pioneer.k12.in.us/,(574) 643-2605,,False,approved,1,['Registered Apprenticeship Program K-12 Teacher (IUK)'],"{""Manage the event or activity"",""Promote event to target populations"",""Provide access to target populations""}",[' '],[''],0,,1,['School of Education'],,Kokomo,Registered Apprenticeship Program K-12 Teacher
502eb51d-e61c-4906-6fd5-764175995076,Sheridan Community Schools,24795 N. Hinesley Rd,,46069,Sheridan,IN,Hamilton,US,40.14848,-86.21794,education: k-12,"<p><strong><em>Mission Statement</em></strong></p><p><strong><em>We create high leverage, high impact learning opportunities for all students.</em></strong></p><p><strong><em>Vision Statement</em></strong></p><p><strong><em>All students develop skills and attitudes resulting in academic excellence, career success, and exemplary citizenship.</em></strong></p>",http://www.scs.k12.in.us/,(317) 758-4172,,False,approved,1,['Registered Apprenticeship Program K-12 Teacher (IUK)'],"{""Manage the event or activity"",""Promote event to target populations"",""Provide access to target populations""}",[' '],[''],0,,1,['School of Education'],,Kokomo,Registered Apprenticeship Program K-12 Teacher
